pr,issue,autor,base,abierto,mergeado,horas,archivos,agregadas,borradas,corridas_ci,fallas_ci,tokens,minutos_sesion,bitacora
34,,SantiagoBriz,dev,2026-08-15T01:00:43Z,2026-08-15T01:11:07Z,0.2,75,6281,275,1,0,,,
35,,SantiagoBriz,dev,2026-08-15T03:45:32Z,2026-08-15T03:59:12Z,0.2,20,2368,5,1,0,,,
36,,SantiagoBriz,staging,2026-08-15T04:05:26Z,2026-08-15T04:42:44Z,0.6,20,2368,5,0,0,,,
37,,SantiagoBriz,dev,2026-08-15T04:38:57Z,2026-08-15T04:43:48Z,0.1,3,13,3,1,0,,,
38,,SantiagoBriz,dev,2026-08-15T14:57:16Z,2026-08-15T15:03:17Z,0.1,1,213,0,1,0,,,
39,,giuliannadr,dev,2026-08-15T14:58:53Z,2026-08-16T16:57:11Z,26.0,2,29,12,1,0,,,
40,,SantiagoBriz,dev,2026-08-15T15:19:06Z,2026-08-15T15:24:00Z,0.1,1,2,2,1,0,,,
41,,giuliannadr,staging,2026-08-16T16:58:00Z,2026-08-16T16:59:25Z,0.0,7,257,17,0,0,,,
42,,giuliannadr,dev,2026-08-17T18:51:58Z,2026-08-17T19:16:18Z,0.4,2,745,69,1,0,,,
43,,giuliannadr,staging,2026-08-17T19:17:14Z,2026-08-17T19:20:49Z,0.1,2,745,69,0,0,,,
46,,giuliannadr,dev,2026-08-18T23:00:04Z,2026-08-18T23:04:22Z,0.1,1,3,4,1,0,,,
48,,giuliannadr,dev,2026-08-18T23:44:41Z,2026-08-18T23:48:25Z,0.1,2,170,3,1,0,,,
49,,SantiagoBriz,dev,2026-08-19T03:01:01Z,2026-08-20T16:26:16Z,37.4,1,55,0,1,0,,,
50,,giuliannadr,staging,2026-08-19T13:55:52Z,2026-08-19T13:57:38Z,0.0,2,173,7,0,0,,,
53,51,giuliannadr,dev,2026-08-21T15:06:16Z,2026-08-21T16:34:07Z,1.5,5,126,5,1,0,,,
54,,giuliannadr,staging,2026-08-21T16:43:08Z,2026-08-21T17:15:00Z,0.5,6,181,5,0,0,,,
55,52,giuliannadr,dev,2026-08-21T18:02:10Z,2026-08-21T18:09:02Z,0.1,15,216,121,1,0,,,
56,,giuliannadr,staging,2026-08-21T18:09:52Z,2026-08-21T18:11:37Z,0.0,15,216,121,0,0,,,
60,,SantiagoBriz,dev,2026-08-22T00:17:41Z,2026-08-22T05:47:01Z,5.5,1,51,0,1,0,,,
61,,SantiagoBriz,dev,2026-08-22T05:39:42Z,2026-08-22T16:15:34Z,10.6,3,72,3,2,0,,,
62,,SantiagoBriz,dev,2026-08-22T19:25:06Z,2026-08-22T21:58:59Z,2.6,4,278,0,1,0,,,
63,,SantiagoBriz,dev,2026-08-22T21:25:55Z,2026-08-22T21:59:21Z,0.6,2,33,54,2,0,,,
64,,SantiagoBriz,dev,2026-08-25T21:18:18Z,2026-08-26T01:17:27Z,4.0,2,15,2,1,0,,,
65,,giuliannadr,staging,2026-08-26T22:38:18Z,2026-08-26T23:14:36Z,0.6,22,646,133,0,0,,,
66,,giuliannadr,dev,2026-08-26T22:50:43Z,2026-08-26T23:10:00Z,0.3,2,28,0,1,0,,,
67,,SantiagoBriz,dev,2026-08-30T16:21:32Z,2026-08-30T19:02:44Z,2.7,8,331,1,14,0,,,
